filename,state,sampleIndex,h,s,b,normY
image000001.jpeg,clearSunset,1,204,15,76,0.03
image000001.jpeg,clearSunset,2,195,6,73,0.234
image000001.jpeg,clearSunset,3,194,11,75,0.354
IMG_0224.JPG,clearMidday,1,216,18,84,0.024
IMG_0224.JPG,clearMidday,2,216,4,89,0.52
IMG_0224.JPG,clearMidday,3,218,11,70,0.918
IMG_0225.JPG,clearMidday,1,219,17,54,0.224
IMG_0225.JPG,clearMidday,2,224,6,71,0.307
IMG_0225.JPG,clearMidday,3,240,2,85,0.644
IMG_0226.JPG,clearMidday,1,217,18,54,0.054
IMG_0226.JPG,clearMidday,2,218,12,73,0.294
IMG_0226.JPG,clearMidday,3,217,19,44,0.785
IMG_0227.JPG,clearMidday,1,220,15,65,0.015
IMG_0227.JPG,clearMidday,2,216,13,62,0.458
IMG_0227.JPG,clearMidday,3,221,14,46,0.775
IMG_0228.JPG,clearMidday,1,214,7,84,0.145
IMG_0228.JPG,clearMidday,2,217,21,42,0.495
IMG_0228.JPG,clearMidday,3,212,14,49,0.863
IMG_0229.JPG,clearMidday,1,210,19,34,0.097
IMG_0229.JPG,clearMidday,2,217,9,78,0.374
IMG_0229.JPG,clearMidday,3,219,21,42,0.981
IMG_0231.JPG,clearMidday,1,215,22,31,0.134
IMG_0231.JPG,clearMidday,2,216,15,76,0.353
IMG_0231.JPG,clearMidday,3,218,15,57,0.829
IMG_0233.JPG,clearMidday,1,218,12,80,0.039
IMG_0233.JPG,clearMidday,2,214,7,89,0.256
IMG_0233.JPG,clearMidday,3,222,7,75,0.902
IMG_0234.JPG,clearMidday,1,216,15,71,0.264
IMG_0234.JPG,clearMidday,2,218,4,96,0.204
IMG_0234.JPG,clearMidday,3,219,16,74,0.851
IMG_0236.JPG,clearMidday,1,210,1,100,0.045
IMG_0236.JPG,clearMidday,2,215,14,84,0.371
IMG_0236.JPG,clearMidday,3,217,10,82,0.878
IMG_0237.JPG,clearMidday,1,214,9,91,0.297
IMG_0237.JPG,clearMidday,2,214,3,100,0.449
IMG_0237.JPG,clearMidday,3,216,18,72,0.954
IMG_0238.JPG,clearMidday,1,214,3,100,0.204
IMG_0238.JPG,clearMidday,2,212,14,95,0.556
IMG_0238.JPG,clearMidday,3,216,2,100,0.817
IMG_0239.JPG,clearMidday,1,220,15,78,0.088
IMG_0239.JPG,clearMidday,2,218,8,91,0.466
IMG_0239.JPG,clearMidday,3,217,11,86,0.694
IMG_0240.JPG,clearMidday,1,300,0,100,0.419
IMG_0240.JPG,clearMidday,2,226,20,56,0.599
IMG_0240.JPG,clearMidday,3,213,12,75,0.863
IMG_0241.JPG,clearMidday,1,218,16,83,0.21
IMG_0241.JPG,clearMidday,2,216,21,79,0.44
IMG_0241.JPG,clearMidday,3,215,17,83,0.821
IMG_0242.JPG,clearMidday,1,240,1,100,0.39
IMG_0242.JPG,clearMidday,2,223,21,52,0.72
IMG_0242.JPG,clearMidday,3,222,17,60,0.93
IMG_0243.JPG,clearMidday,1,206,3,99,0.385
IMG_0243.JPG,clearMidday,2,217,18,76,0.493
IMG_0243.JPG,clearMidday,3,221,21,55,0.657
IMG_0244.JPG,clearMidday,1,218,5,96,0.094
IMG_0244.JPG,clearMidday,2,219,16,75,0.204
IMG_0244.JPG,clearMidday,3,218,14,75,0.538
IMG_0245.JPG,clearMidday,1,217,15,79,0.036
IMG_0245.JPG,clearMidday,2,216,2,100,0.149
IMG_0245.JPG,clearMidday,3,210,7,100,0.723
IMG_0245.JPG,clearMidday,4,216,20,88,0.42
IMG_0246.JPG,clearMidday,1,218,19,45,0.031
IMG_0246.JPG,clearMidday,2,221,17,50,0.379
IMG_0246.JPG,clearMidday,3,214,3,84,0.732
IMG_0247.JPG,clearMidday,1,216,17,61,0.125
IMG_0247.JPG,clearMidday,2,216,2,98,0.708
IMG_0247.JPG,clearMidday,3,206,14,78,0.925
IMG_0248.JPG,clearMidday,1,217,14,63,0.128
IMG_0248.JPG,clearMidday,2,217,19,53,0.325
IMG_0248.JPG,clearMidday,3,214,3,91,0.635
IMG_0249.JPG,clearMidday,1,226,16,32,0.092
IMG_0249.JPG,clearMidday,2,220,14,52,0.122
IMG_0249.JPG,clearMidday,3,220,6,79,0.145
IMG_0250.JPG,clearMidday,1,211,38,66,0.1
IMG_0250.JPG,clearMidday,2,60,1,89,0.51
IMG_0250.JPG,clearMidday,3,211,24,71,0.569
IMG_0251.JPG,clearMidday,1,213,31,46,0.016
IMG_0251.JPG,clearMidday,2,0,1,62,0.243
IMG_0251.JPG,clearMidday,3,38,6,74,0.483
IMG_0254.JPG,clearMidday,1,215,28,44,0.446
IMG_0254.JPG,clearMidday,2,42,5,87,0.371
IMG_0254.JPG,clearMidday,3,215,13,59,0.522
IMG_0255.JPG,clearMidday,1,223,4,66,0.319
IMG_0255.JPG,clearMidday,2,217,13,54,0.48
IMG_0255.JPG,clearMidday,3,38,5,88,0.42
IMG_0257.JPG,clearSunset,1,33,16,76,0.903
IMG_0257.JPG,clearSunset,2,53,4,70,0.565
IMG_0257.JPG,clearSunset,3,207,10,42,0.587
IMG_0258.JPG,clearSunset,1,36,27,89,0.852
IMG_0258.JPG,clearSunset,2,41,14,93,0.745
IMG_0258.JPG,clearSunset,3,222,6,69,0.417
IMG_0259.JPG,clearSunset,1,213,28,60,0.392
IMG_0259.JPG,clearSunset,2,240,3,63,0.382
IMG_0259.JPG,clearSunset,3,200,2,53,0.879
IMG_0260.JPG,clearSunset,1,356,11,51,0.583
IMG_0260.JPG,clearSunset,2,12,18,55,0.587
IMG_0260.JPG,clearSunset,3,222,15,35,0.694
IMG_0260.JPG,clearSunset,4,217,8,64,0.501
IMG_0261.JPG,clearSunset,1,25,7,67,0.124
IMG_0261.JPG,clearSunset,2,32,19,80,0.647
IMG_0261.JPG,clearSunset,3,0,2,50,0.161
IMG_0261.JPG,clearSunset,4,32,28,85,0.882
IMG_0262.JPG,clearSunset,1,300,1,76,0.463
IMG_0262.JPG,clearSunset,2,307,6,55,0.557
IMG_0262.JPG,clearSunset,3,221,19,51,0.621
IMG_0263.JPG,clearSunset,1,28,58,72,0.838
IMG_0263.JPG,clearSunset,2,31,50,83,0.756
IMG_0263.JPG,clearSunset,3,32,33,88,0.632
IMG_0264.JPG,clearSunset,1,15,34,73,0.462
IMG_0264.JPG,clearSunset,2,11,32,59,0.38
IMG_0264.JPG,clearSunset,3,283,7,37,0.407
IMG_0264.JPG,clearSunset,4,223,17,42,0.638
IMG_0265.JPG,clearDusk,1,257,26,47,0.294
IMG_0265.JPG,clearDusk,2,269,21,46,0.644
IMG_0265.JPG,clearDusk,3,252,23,43,0.624
IMG_0265.JPG,clearDusk,4,243,25,35,0.672
IMG_0265.JPG,clearDusk,5,259,23,43,0.702
IMG_0265.JPG,clearDusk,6,230,33,34,0.781
IMG_0266.JPG,clearSunset,1,1,39,53,0.689
IMG_0266.JPG,clearSunset,2,0,26,59,0.618
IMG_0266.JPG,clearSunset,3,338,17,57,0.547
IMG_0267.JPG,clearSunset,1,309,22,46,0.332
IMG_0267.JPG,clearSunset,2,338,26,63,0.633
IMG_0267.JPG,clearSunset,3,356,30,75,0.717
IMG_0267.JPG,clearSunset,4,3,34,83,0.75
IMG_0267.JPG,clearSunset,5,240,23,58,0.475
IMG_0875.HEIC,clearSunset,1,20,25,86,0.417
IMG_0875.HEIC,clearSunset,2,25,23,87,0.331
IMG_0875.HEIC,clearSunset,3,24,15,80,0.355
IMG_0931.HEIC,clearMidday,1,211,37,70,0.313
IMG_0931.HEIC,clearMidday,2,212,6,86,0.219
IMG_0931.HEIC,clearMidday,3,215,17,82,0.114
IMG_0935.HEIC,clearMidday,1,210,6,96,0.237
IMG_0935.HEIC,clearMidday,2,212,20,87,0.034
IMG_0935.HEIC,clearMidday,3,210,25,81,0.094
IMG_0935.HEIC,clearMidday,4,211,29,72,0.321
IMG_0936.HEIC,clearMidday,1,209,32,73,0.423
IMG_0936.HEIC,clearMidday,2,203,10,89,0.287
IMG_0936.HEIC,clearMidday,3,209,30,59,0.344
IMG_0936.HEIC,clearMidday,4,212,19,84,0.184
IMG_0966.HEIC,clearMidday,1,264,2,95,0.242
IMG_0966.HEIC,clearMidday,2,215,20,87,0.294
IMG_0966.HEIC,clearMidday,3,215,31,89,0.015
IMG_0966.HEIC,clearMidday,4,213,34,79,0.253
IMG_0968.HEIC,clearMidday,1,227,8,93,0.232
IMG_0968.HEIC,clearMidday,2,215,25,89,0.144
IMG_0968.HEIC,clearMidday,3,213,47,90,0.082
IMG_0968.HEIC,clearMidday,4,221,13,90,0.257
IMG_0972.HEIC,clearMidday,1,213,10,93,0.224
IMG_0972.HEIC,clearMidday,2,214,22,85,0.248
IMG_0972.HEIC,clearMidday,3,218,24,85,0.254
IMG_0972.HEIC,clearMidday,4,217,13,91,0.205
IMG_1028.HEIC,clearMidday,1,211,30,64,0.189
IMG_1028.HEIC,clearMidday,2,202,9,98,0.177
IMG_1028.HEIC,clearMidday,3,207,20,84,0.126
IMG_1049.HEIC,clearMidday,1,211,25,78,0.176
IMG_1049.HEIC,clearMidday,2,207,19,85,0.066
IMG_1049.HEIC,clearMidday,3,210,14,86,0.264
IMG_1054.HEIC,clearMidday,1,213,15,89,0.189
IMG_1054.HEIC,clearMidday,2,213,17,79,0.261
IMG_1054.HEIC,clearMidday,3,212,28,68,0.322
IMG_1056.HEIC,clearMidday,1,212,30,58,0.25
IMG_1056.HEIC,clearMidday,2,213,23,80,0.065
IMG_1056.HEIC,clearMidday,3,215,11,89,0.053
IMG_1057.HEIC,clearMidday,1,211,24,64,0.123
IMG_1057.HEIC,clearMidday,2,210,15,79,0.075
IMG_1057.HEIC,clearMidday,3,213,16,91,0.037
IMG_1058.HEIC,clearMidday,1,206,3,93,0.226
IMG_1058.HEIC,clearMidday,2,213,4,88,0.242
IMG_1058.HEIC,clearMidday,3,212,19,78,0.281
IMG_1058.HEIC,clearMidday,4,211,39,75,0.309
IMG_1061.HEIC,clearMidday,1,208,8,91,0.073
IMG_1061.HEIC,clearMidday,2,214,6,87,0.118
IMG_1061.HEIC,clearMidday,3,207,17,80,0.338
IMG_1061.HEIC,clearMidday,4,206,11,80,0.342
IMG_1075.HEIC,clearDusk,1,211,55,87,0.569
IMG_1075.HEIC,clearDusk,2,211,51,92,0.336
IMG_1075.HEIC,clearDusk,3,213,52,84,0.373
IMG_1076.HEIC,clearDusk,1,208,59,84,0.366
IMG_1076.HEIC,clearDusk,2,208,55,85,0.287
IMG_1076.HEIC,clearDusk,3,206,50,86,0.403
IMG_1090.HEIC,clearMidday,1,222,4,95,0.286
IMG_1090.HEIC,clearMidday,2,215,11,83,0.33
IMG_1090.HEIC,clearMidday,3,211,34,64,0.364
IMG_1090.HEIC,clearMidday,4,215,38,76,0.205
IMG_1091.HEIC,clearMidday,1,210,32,75,0.041
IMG_1091.HEIC,clearMidday,2,206,13,93,0.109
IMG_1091.HEIC,clearMidday,3,213,24,85,0.098
IMG_1122.HEIC,clearMidday,1,211,20,84,0.57
IMG_1122.HEIC,clearMidday,2,207,10,89,0.485
IMG_1122.HEIC,clearMidday,3,204,6,95,0.325
IMG_1122.HEIC,clearMidday,4,211,22,82,0.261
IMG_1176.HEIC,clearSunset,1,39,27,96,0.164
IMG_1176.HEIC,clearSunset,2,17,4,72,0.293
IMG_1176.HEIC,clearSunset,3,27,30,90,0.226
IMG_1176.HEIC,clearSunset,4,200,2,73,0.328
IMG_1200.HEIC,clearMidday,1,193,6,94,0.301
IMG_1200.HEIC,clearMidday,2,195,7,90,0.313
IMG_1200.HEIC,clearMidday,3,211,23,81,0.2
IMG_1202.HEIC,clearMidday,1,215,29,66,0.275
IMG_1202.HEIC,clearMidday,2,192,2,83,0.191
IMG_1202.HEIC,clearMidday,3,80,1,93,0.148
IMG_1203.HEIC,clearMidday,1,200,7,81,0.013
IMG_1203.HEIC,clearMidday,2,200,3,84,0.18
IMG_1203.HEIC,clearMidday,3,213,25,67,0.287
IMG_1204.HEIC,clearMidday,1,207,25,67,0.272
IMG_1204.HEIC,clearMidday,2,198,11,82,0.272
IMG_1204.HEIC,clearMidday,3,204,30,70,0.289
IMG_1205.HEIC,clearMidday,1,210,3,91,0.127
IMG_1205.HEIC,clearMidday,2,211,23,79,0.183
IMG_1205.HEIC,clearMidday,3,213,28,72,0.307
IMG_1205.HEIC,clearMidday,4,208,8,85,0.223
IMG_1207.HEIC,clearMidday,1,209,22,77,0.212
IMG_1207.HEIC,clearMidday,2,203,10,92,0.147
IMG_1207.HEIC,clearMidday,3,212,37,69,0.4
IMG_1209.HEIC,clearMidday,1,180,2,97,0.146
IMG_1209.HEIC,clearMidday,2,215,30,81,0.367
IMG_1209.HEIC,clearMidday,3,216,27,83,0.219
IMG_1248.HEIC,clearMidday,1,208,25,72,0.458
IMG_1248.HEIC,clearMidday,2,206,25,78,0.301
IMG_1248.HEIC,clearMidday,3,204,14,92,0.228
IMG_1249.HEIC,clearMidday,1,206,36,65,0.493
IMG_1249.HEIC,clearMidday,2,193,10,93,0.372
IMG_1249.HEIC,clearMidday,3,211,23,83,0.281
IMG_1257.HEIC,clearMidday,1,60,5,100,0.134
IMG_1257.HEIC,clearMidday,2,29,9,96,0.02
IMG_1257.HEIC,clearMidday,3,197,4,74,0.346
IMG_1257.HEIC,clearMidday,4,192,10,76,0.4
IMG_1258.HEIC,clearMidday,1,0,0,100,0.016
IMG_1258.HEIC,clearMidday,2,30,4,94,0.134
IMG_1258.HEIC,clearMidday,3,300,1,75,0.166
IMG_1258.HEIC,clearMidday,4,211,14,66,0.351
IMG_1258.HEIC,clearMidday,5,208,21,69,0.446
IMG_1259.HEIC,clearMidday,1,23,7,97,0.045
IMG_1259.HEIC,clearMidday,2,14,6,83,0.114
IMG_1259.HEIC,clearMidday,3,228,3,78,0.193
IMG_1259.HEIC,clearMidday,4,210,9,81,0.226
IMG_1259.HEIC,clearMidday,5,260,1,79,0.338
IMG_1259.HEIC,clearMidday,6,215,11,70,0.366
IMG_1259.HEIC,clearMidday,7,208,15,74,0.396
IMG_1270.HEIC,clearDawn,1,212,25,75,0.144
IMG_1270.HEIC,clearDawn,2,213,23,82,0.328
IMG_1270.HEIC,clearDawn,3,215,20,79,0.44
IMG_1270.HEIC,clearDawn,4,210,10,82,0.448
IMG_1405.JPG,clearNight,1,217,84,31,0.115
IMG_1405.JPG,clearNight,2,223,41,29,0.232
IMG_1405.JPG,clearNight,3,224,53,30,0.091
IMG_1405.JPG,clearNight,4,221,41,33,0.313
IMG_1436.jpg,clearMidday,1,216,23,87,0.339
IMG_1436.jpg,clearMidday,2,216,24,82,0.425
IMG_1436.jpg,clearMidday,3,215,26,79,0.461
IMG_1444.jpg,clearMidday,1,211,27,94,0.236
IMG_1444.jpg,clearMidday,2,209,20,87,0.355
IMG_1444.jpg,clearMidday,3,212,38,97,0.125
IMG_1453.jpg,clearSunset,1,180,3,74,0.066
IMG_1453.jpg,clearSunset,2,105,2,68,0.188
IMG_1453.jpg,clearSunset,3,39,11,82,0.219
IMG_1453.jpg,clearSunset,4,35,38,87,0.372
IMG_1453.jpg,clearSunset,5,34,38,87,0.419
IMG_1459.jpg,clearSunset,1,245,10,53,0.534
IMG_1459.jpg,clearSunset,2,27,33,67,0.453
IMG_1459.jpg,clearSunset,3,26,41,77,0.49
IMG_1459.jpg,clearSunset,4,36,28,87,0.395
IMG_1459.jpg,clearSunset,5,221,17,72,0.11
IMG_1602.JPG,clearMidday,1,213,19,94,0.721
IMG_1602.JPG,clearMidday,2,212,37,96,0.617
IMG_1603.JPG,clearMidday,1,208,12,77,0.861
IMG_1603.JPG,clearMidday,2,216,12,87,0.648
IMG_1603.JPG,clearMidday,3,215,26,89,0.23
IMG_2286.heic,clearSunset,1,10,8,60,0.577
IMG_2286.heic,clearSunset,2,29,72,99,0.55
IMG_2286.heic,clearSunset,3,21,53,98,0.527
IMG_2286.heic,clearSunset,4,14,39,98,0.459
IMG_2286.heic,clearSunset,5,347,20,69,0.159
IMG_2286.heic,clearSunset,6,310,12,58,0.177
IMG_2286.heic,clearSunset,7,228,24,56,0.215
IMG_4960 2.heic,clearMidday,1,213,26,60,0.24
IMG_4960 2.heic,clearMidday,2,209,26,65,0.28
IMG_4960 2.heic,clearMidday,3,201,12,92,0.225
IMG_4960 2.heic,clearMidday,4,203,12,93,0.173
IMG_4962.heic,clearMidday,1,202,8,99,0.232
IMG_4962.heic,clearMidday,2,210,16,81,0.238
IMG_4962.heic,clearMidday,3,208,13,79,0.319
IMG_4962.heic,clearMidday,4,214,31,61,0.349
IMG_4962.heic,clearMidday,5,211,16,77,0.191
IMG_5354.jpeg,clearMidday,1,213,13,97,0.165
IMG_5354.jpeg,clearMidday,2,212,27,86,0.193
IMG_5354.jpeg,clearMidday,3,203,7,94,0.188
IMG_5362.heic,clearMidday,1,215,10,91,0.017
IMG_5362.heic,clearMidday,2,214,17,86,0.166
IMG_5362.heic,clearMidday,3,215,24,78,0.253
IMG_5362.heic,clearMidday,4,208,6,93,0.292
