filename,state,topH,topS,topB,bottomH,bottomS,bottomB
IMG_0224.JPG,overcastMidday,217,12,89,217,11,85
IMG_0225.JPG,overcastMidday,222,13,62,221,16,46
IMG_0226.JPG,overcastMidday,216,16,61,225,10,48
IMG_0227.JPG,overcastMidday,220,16,60,221,14,54
IMG_0228.JPG,overcastMidday,215,13,65,220,10,60
IMG_0229.JPG,overcastMidday,208,21,32,220,4,85
IMG_0231.JPG,overcastMidday,219,19,47,220,16,53
IMG_0232.JPG,clearMidday,212,55,71,208,38,94
IMG_0233.JPG,clearMidday,214,68,32,211,56,60
IMG_0266.JPG,clearSunset,222,39,46,30,47,100
IMG_0267.JPG,clearSunset,218,48,43,1,27,88
IMG_0268.JPG,clearMidday,211,59,76,204,21,97
IMG_0269.JPG,clearMidday,214,67,45,206,42,79
IMG_0270.JPG,clearMidday,214,66,55,208,45,84
IMG_0271.JPG,clearMidday,214,66,54,208,45,83
IMG_0272.JPG,clearMidday,212,61,60,205,35,72
IMG_0273.JPG,clearMidday,211,47,67,208,42,75
IMG_0274.JPG,clearMidday,214,59,62,209,52,76
IMG_0276.JPG,clearMidday,214,65,55,206,38,80
IMG_0277.JPG,clearMidday,212,63,66,204,21,97
IMG_0278.JPG,clearMidday,214,72,36,205,44,79
IMG_0279.JPG,clearMidday,214,57,40,210,41,72
IMG_0280.JPG,clearMidday,213,50,59,208,39,76
IMG_0281.JPG,clearMidday,207,56,71,200,27,78
IMG_0282.JPG,clearMidday,209,58,58,200,32,66
IMG_0283.JPG,clearMidday,209,61,57,199,32,68
IMG_0285.JPG,clearMidday,210,48,58,205,33,71
IMG_0286.JPG,clearMidday,212,54,53,204,32,75
IMG_0287.JPG,clearMidday,211,58,36,204,23,76
IMG_0288.JPG,clearMidday,209,59,58,200,30,65
IMG_0289.JPG,clearMidday,211,59,65,209,55,73
IMG_0290.JPG,clearMidday,210,55,57,200,13,93
IMG_0291.JPG,clearMidday,211,63,36,196,24,68
IMG_0292.JPG,clearMidday,211,67,37,197,32,70
IMG_0293.JPG,clearMidday,211,69,33,204,52,66
IMG_0294.JPG,clearMidday,211,65,41,203,45,75
IMG_0295.JPG,clearMidday,210,62,45,202,35,78
IMG_0296.JPG,clearMidday,210,61,61,209,55,68
IMG_0297.JPG,clearMidday,205,48,76,195,25,80
IMG_0298.JPG,clearMidday,205,51,62,129,5,57
IMG_0299.JPG,clearMidday,208,41,43,140,4,63
IMG_0300.JPG,clearMidday,209,58,52,201,39,68
